EmployeeNumber,Age,DailyRate,DistanceFromHome,EmployeeCount,HourlyRate,MonthlyIncome,MonthlyRate,NumCompaniesWorked,PercentSalaryHike,PerformanceRating,StandardHours,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Education,EnvironmentSatisfaction,JobInvolvement,JobLevel,JobSatisfaction,RelationshipSatisfaction,StockOptionLevel,WorkLifeBalance,BusinessTravel,Department,EducationField,Gender,JobRole,MaritalStatus,Over18,OverTime,Attrition
21,32.0,334.0,5.0,1.0,80.0,3298.0,15053.0,0.0,12.0,3.0,80.0,7.0,5.0,6.0,2.0,0.0,5.0,2,1,4,1,2,4,2,2,Travel_Rarely,Research & Development,Life Sciences,Male,Research Scientist,Divorced,Y,Yes,0
22,22.0,1123.0,16.0,1.0,96.0,2935.0,7324.0,1.0,13.0,3.0,80.0,1.0,2.0,1.0,0.0,0.0,0.0,2,4,4,1,4,2,2,2,Non-Travel,Research & Development,Medical,Male,Laboratory Technician,Divorced,Y,Yes,0
23,53.0,1219.0,2.0,1.0,78.0,15427.0,22021.0,2.0,16.0,3.0,80.0,31.0,3.0,25.0,8.0,3.0,7.0,4,1,2,4,4,3,0,3,Travel_Rarely,Sales,Life Sciences,Female,Manager,Married,Y,No,0
24,38.0,371.0,2.0,1.0,45.0,3944.0,4306.0,5.0,11.0,3.0,80.0,6.0,3.0,3.0,2.0,1.0,2.0,3,4,3,1,4,3,0,3,Travel_Rarely,Research & Development,Life Sciences,Male,Research Scientist,Single,Y,Yes,0
26,24.0,673.0,11.0,1.0,96.0,4011.0,8232.0,0.0,18.0,3.0,80.0,5.0,5.0,4.0,2.0,1.0,3.0,2,1,4,2,3,4,1,2,Non-Travel,Research & Development,Other,Female,Manufacturing Director,Divorced,Y,No,0
27,36.0,1218.0,9.0,1.0,82.0,3407.0,6986.0,7.0,23.0,4.0,80.0,10.0,4.0,5.0,3.0,0.0,3.0,4,3,2,1,1,2,0,3,Travel_Rarely,Sales,Life Sciences,Male,Sales Representative,Single,Y,No,1
28,34.0,419.0,7.0,1.0,53.0,11994.0,21293.0,0.0,11.0,3.0,80.0,13.0,4.0,12.0,6.0,2.0,11.0,4,1,3,3,2,3,0,3,Travel_Rarely,Research & Development,Life Sciences,Female,Research Director,Single,Y,No,0
30,21.0,391.0,15.0,1.0,96.0,1232.0,19281.0,1.0,14.0,3.0,80.0,0.0,6.0,0.0,0.0,0.0,0.0,2,3,3,1,4,4,0,3,Travel_Rarely,Research & Development,Life Sciences,Male,Research Scientist,Single,Y,No,0
31,34.0,699.0,6.0,1.0,83.0,2960.0,17102.0,2.0,11.0,3.0,80.0,8.0,2.0,4.0,2.0,1.0,3.0,1,2,3,1,1,3,0,3,Travel_Rarely,Research & Development,Medical,Male,Research Scientist,Single,Y,No,1
32,53.0,1282.0,5.0,1.0,58.0,19094.0,10735.0,4.0,11.0,3.0,80.0,26.0,3.0,14.0,13.0,4.0,8.0,3,3,3,5,3,4,1,2,Travel_Rarely,Research & Development,Other,Female,Manager,Divorced,Y,No,0
33,32.0,1125.0,16.0,1.0,72.0,3919.0,4681.0,1.0,22.0,4.0,80.0,10.0,5.0,10.0,2.0,6.0,7.0,1,2,1,1,1,2,0,3,Travel_Frequently,Research & Development,Life Sciences,Female,Research Scientist,Single,Y,Yes,1
35,42.0,691.0,8.0,1.0,48.0,6825.0,21173.0,0.0,11.0,3.0,80.0,10.0,2.0,9.0,7.0,4.0,2.0,4,3,3,2,2,4,1,3,Travel_Rarely,Sales,Marketing,Male,Sales Executive,Married,Y,No,0
36,44.0,477.0,7.0,1.0,42.0,10248.0,2094.0,3.0,14.0,3.0,80.0,24.0,4.0,22.0,6.0,5.0,17.0,4,1,2,3,4,4,1,3,Travel_Rarely,Research & Development,Medical,Female,Healthcare Representative,Married,Y,No,0
38,46.0,705.0,2.0,1.0,83.0,18947.0,22822.0,3.0,12.0,3.0,80.0,22.0,2.0,2.0,2.0,2.0,1.0,4,2,3,5,1,4,0,2,Travel_Rarely,Sales,Marketing,Female,Manager,Single,Y,No,0
39,33.0,924.0,2.0,1.0,78.0,2496.0,6670.0,4.0,11.0,3.0,80.0,7.0,3.0,1.0,1.0,0.0,0.0,3,3,3,1,4,4,0,3,Travel_Rarely,Research & Development,Medical,Male,Laboratory Technician,Single,Y,No,0
40,44.0,1459.0,10.0,1.0,41.0,6465.0,19121.0,2.0,13.0,3.0,80.0,9.0,5.0,4.0,2.0,1.0,3.0,4,4,3,2,4,4,0,4,Travel_Rarely,Research & Development,Other,Male,Healthcare Representative,Married,Y,Yes,0
41,30.0,125.0,9.0,1.0,83.0,2206.0,16117.0,1.0,13.0,3.0,80.0,10.0,5.0,10.0,0.0,1.0,8.0,2,4,2,1,3,1,0,3,Travel_Rarely,Research & Development,Medical,Male,Laboratory Technician,Single,Y,No,0
42,39.0,895.0,5.0,1.0,56.0,2086.0,3335.0,3.0,14.0,3.0,80.0,19.0,6.0,1.0,0.0,0.0,0.0,3,4,3,2,4,3,1,4,Travel_Rarely,Sales,Technical Degree,Male,Sales Representative,Married,Y,No,1
45,24.0,813.0,1.0,1.0,61.0,2293.0,3020.0,2.0,16.0,3.0,80.0,6.0,2.0,2.0,0.0,2.0,0.0,3,2,3,1,4,1,1,2,Travel_Rarely,Research & Development,Medical,Male,Research Scientist,Married,Y,Yes,1
46,43.0,1273.0,2.0,1.0,72.0,2645.0,21923.0,1.0,12.0,3.0,80.0,6.0,3.0,5.0,3.0,1.0,4.0,2,4,4,1,3,4,2,2,Travel_Rarely,Research & Development,Medical,Female,Research Scientist,Divorced,Y,No,0
47,50.0,869.0,3.0,1.0,86.0,2683.0,3810.0,1.0,14.0,3.0,80.0,3.0,2.0,3.0,2.0,0.0,2.0,2,1,2,1,3,3,0,3,Travel_Rarely,Sales,Marketing,Male,Sales Representative,Married,Y,Yes,1
49,35.0,890.0,2.0,1.0,97.0,2014.0,9687.0,1.0,13.0,3.0,80.0,2.0,3.0,2.0,2.0,2.0,2.0,3,4,3,1,4,1,0,3,Travel_Rarely,Sales,Marketing,Female,Sales Representative,Married,Y,No,0
51,36.0,852.0,5.0,1.0,82.0,3419.0,13072.0,9.0,14.0,3.0,80.0,6.0,3.0,1.0,1.0,0.0,0.0,4,2,2,1,1,4,1,4,Travel_Rarely,Research & Development,Life Sciences,Female,Research Scientist,Married,Y,Yes,0
52,33.0,1141.0,1.0,1.0,42.0,5376.0,3193.0,2.0,19.0,3.0,80.0,10.0,3.0,5.0,3.0,1.0,3.0,3,3,4,2,1,1,2,3,Travel_Frequently,Sales,Life Sciences,Female,Sales Executive,Married,Y,No,0
53,35.0,464.0,4.0,1.0,75.0,1951.0,10910.0,1.0,12.0,3.0,80.0,1.0,3.0,1.0,0.0,0.0,0.0,2,3,3,1,4,3,1,3,Travel_Rarely,Research & Development,Other,Male,Laboratory Technician,Divorced,Y,No,0
54,27.0,1240.0,2.0,1.0,33.0,2341.0,19715.0,1.0,13.0,3.0,80.0,1.0,6.0,1.0,0.0,0.0,0.0,4,4,3,1,1,4,1,3,Travel_Rarely,Research & Development,Life Sciences,Female,Laboratory Technician,Divorced,Y,No,0
55,26.0,1357.0,25.0,1.0,48.0,2293.0,10558.0,1.0,12.0,3.0,80.0,1.0,2.0,1.0,0.0,0.0,1.0,3,1,1,1,3,3,0,2,Travel_Rarely,Research & Development,Life Sciences,Male,Laboratory Technician,Single,Y,No,1
56,27.0,994.0,8.0,1.0,37.0,8726.0,2975.0,1.0,15.0,3.0,80.0,9.0,0.0,9.0,8.0,1.0,7.0,3,4,3,3,3,4,0,3,Travel_Frequently,Sales,Life Sciences,Male,Sales Executive,Single,Y,No,0
57,30.0,721.0,1.0,1.0,58.0,4011.0,10781.0,1.0,23.0,4.0,80.0,12.0,2.0,12.0,8.0,3.0,7.0,2,3,3,2,4,4,0,3,Travel_Frequently,Research & Development,Medical,Female,Laboratory Technician,Single,Y,No,0
58,41.0,1360.0,12.0,1.0,49.0,19545.0,16280.0,1.0,12.0,3.0,80.0,23.0,0.0,22.0,15.0,15.0,8.0,3,2,3,5,3,4,0,3,Travel_Rarely,Research & Development,Technical Degree,Female,Research Director,Married,Y,No,1
60,34.0,1065.0,23.0,1.0,72.0,4568.0,10034.0,0.0,20.0,4.0,80.0,10.0,2.0,9.0,5.0,8.0,7.0,4,2,3,2,3,3,0,3,Non-Travel,Sales,Marketing,Male,Sales Executive,Single,Y,No,0
61,37.0,408.0,19.0,1.0,73.0,3022.0,10227.0,4.0,21.0,4.0,80.0,8.0,1.0,1.0,0.0,0.0,0.0,2,2,3,1,2,1,0,3,Travel_Rarely,Research & Development,Life Sciences,Male,Research Scientist,Married,Y,No,0
62,46.0,1211.0,5.0,1.0,98.0,5772.0,20445.0,4.0,21.0,4.0,80.0,14.0,4.0,9.0,6.0,0.0,8.0,4,1,3,2,4,3,0,3,Travel_Frequently,Sales,Marketing,Male,Sales Executive,Single,Y,Yes,0
63,35.0,1229.0,8.0,1.0,36.0,2269.0,4892.0,1.0,19.0,3.0,80.0,1.0,2.0,1.0,0.0,0.0,1.0,1,4,4,1,4,4,0,3,Travel_Rarely,Research & Development,Life Sciences,Male,Laboratory Technician,Married,Y,No,0
64,48.0,626.0,1.0,1.0,98.0,5381.0,19294.0,9.0,13.0,3.0,80.0,23.0,2.0,1.0,0.0,0.0,0.0,2,1,2,3,3,4,0,3,Travel_Rarely,Research & Development,Life Sciences,Male,Laboratory Technician,Single,Y,Yes,1
65,28.0,1434.0,5.0,1.0,50.0,3441.0,11179.0,1.0,13.0,3.0,80.0,2.0,3.0,2.0,2.0,2.0,2.0,4,3,3,1,3,3,0,2,Travel_Rarely,Research & Development,Technical Degree,Male,Laboratory Technician,Single,Y,Yes,1
68,44.0,1488.0,1.0,1.0,75.0,5454.0,4009.0,5.0,21.0,4.0,80.0,9.0,2.0,4.0,3.0,1.0,3.0,5,2,3,2,1,3,1,2,Travel_Rarely,Sales,Marketing,Female,Sales Executive,Divorced,Y,Yes,0
70,35.0,1097.0,11.0,1.0,79.0,9884.0,8302.0,2.0,13.0,3.0,80.0,10.0,3.0,4.0,0.0,2.0,3.0,2,3,2,3,1,3,1,3,Non-Travel,Research & Development,Medical,Male,Healthcare Representative,Married,Y,Yes,0
72,26.0,1443.0,23.0,1.0,47.0,4157.0,21436.0,7.0,19.0,3.0,80.0,5.0,2.0,2.0,2.0,0.0,0.0,3,3,2,2,4,3,1,2,Travel_Rarely,Sales,Marketing,Female,Sales Executive,Married,Y,Yes,0
73,33.0,515.0,1.0,1.0,98.0,13458.0,15146.0,1.0,12.0,3.0,80.0,15.0,1.0,15.0,14.0,8.0,12.0,2,1,3,3,4,3,0,3,Travel_Frequently,Research & Development,Life Sciences,Female,Research Director,Single,Y,Yes,0
74,35.0,853.0,18.0,1.0,71.0,9069.0,11031.0,1.0,22.0,4.0,80.0,9.0,3.0,9.0,8.0,1.0,8.0,5,2,3,3,1,4,1,2,Travel_Frequently,Sales,Life Sciences,Male,Sales Executive,Married,Y,No,0
75,35.0,1142.0,23.0,1.0,30.0,4014.0,16002.0,3.0,15.0,3.0,80.0,4.0,3.0,2.0,2.0,2.0,2.0,4,3,3,1,1,3,1,3,Travel_Rarely,Research & Development,Medical,Female,Laboratory Technician,Married,Y,Yes,0
76,31.0,655.0,7.0,1.0,48.0,5915.0,9528.0,3.0,22.0,4.0,80.0,10.0,3.0,7.0,7.0,1.0,7.0,4,4,3,2,4,4,1,2,Travel_Rarely,Research & Development,Life Sciences,Male,Laboratory Technician,Divorced,Y,No,0
77,37.0,1115.0,1.0,1.0,51.0,5993.0,2689.0,1.0,18.0,3.0,80.0,7.0,2.0,7.0,5.0,0.0,7.0,4,1,2,2,3,3,1,4,Travel_Rarely,Research & Development,Life Sciences,Male,Manufacturing Director,Divorced,Y,No,0
78,32.0,427.0,1.0,1.0,33.0,6162.0,10877.0,1.0,22.0,4.0,80.0,9.0,3.0,9.0,8.0,7.0,8.0,3,1,3,2,4,2,1,3,Travel_Rarely,Research & Development,Medical,Male,Manufacturing Director,Married,Y,Yes,0
79,38.0,653.0,29.0,1.0,50.0,2406.0,5456.0,1.0,11.0,3.0,80.0,10.0,2.0,10.0,3.0,9.0,9.0,5,4,3,2,4,4,0,3,Travel_Frequently,Research & Development,Life Sciences,Female,Laboratory Technician,Single,Y,No,0
80,50.0,989.0,7.0,1.0,43.0,18740.0,16701.0,5.0,12.0,3.0,80.0,29.0,2.0,27.0,3.0,13.0,8.0,2,2,2,5,3,4,1,2,Travel_Rarely,Research & Development,Medical,Female,Research Director,Divorced,Y,Yes,0
81,59.0,1435.0,25.0,1.0,99.0,7637.0,2354.0,7.0,11.0,3.0,80.0,28.0,3.0,21.0,16.0,7.0,9.0,3,1,3,3,1,4,0,2,Travel_Rarely,Sales,Life Sciences,Female,Sales Executive,Single,Y,No,0
83,36.0,1223.0,8.0,1.0,59.0,10096.0,8202.0,1.0,13.0,3.0,80.0,17.0,2.0,17.0,14.0,12.0,8.0,3,3,3,3,3,2,3,3,Travel_Rarely,Research & Development,Technical Degree,Female,Healthcare Representative,Divorced,Y,No,0
84,55.0,836.0,8.0,1.0,33.0,14756.0,19730.0,2.0,14.0,3.0,80.0,21.0,2.0,5.0,0.0,0.0,2.0,3,4,3,4,3,3,3,3,Travel_Rarely,Research & Development,Medical,Female,Manager,Divorced,Y,Yes,0
85,36.0,1195.0,11.0,1.0,95.0,6499.0,22656.0,1.0,13.0,3.0,80.0,6.0,3.0,6.0,5.0,0.0,3.0,3,2,2,2,2,3,0,3,Travel_Frequently,Research & Development,Life Sciences,Male,Manufacturing Director,Single,Y,No,0
86,45.0,1339.0,7.0,1.0,59.0,9724.0,18787.0,2.0,17.0,3.0,80.0,25.0,2.0,1.0,0.0,0.0,0.0,3,2,3,3,1,3,1,3,Travel_Rarely,Research & Development,Life Sciences,Male,Research Scientist,Divorced,Y,No,0
88,35.0,664.0,1.0,1.0,79.0,2194.0,5868.0,4.0,13.0,3.0,80.0,5.0,2.0,3.0,2.0,1.0,2.0,3,2,3,1,1,4,1,2,Travel_Frequently,Research & Development,Medical,Male,Research Scientist,Married,Y,No,0
90,36.0,318.0,9.0,1.0,79.0,3388.0,21777.0,0.0,17.0,3.0,80.0,2.0,0.0,1.0,0.0,0.0,0.0,3,4,2,1,3,1,1,2,Travel_Rarely,Research & Development,Medical,Male,Research Scientist,Married,Y,Yes,1
91,59.0,1225.0,1.0,1.0,57.0,5473.0,24668.0,7.0,11.0,3.0,80.0,20.0,2.0,4.0,3.0,1.0,3.0,1,1,2,2,3,4,0,2,Travel_Frequently,Sales,Life Sciences,Female,Sales Executive,Single,Y,No,0
94,29.0,1328.0,2.0,1.0,76.0,2703.0,4956.0,0.0,23.0,4.0,80.0,6.0,3.0,5.0,4.0,0.0,4.0,3,3,3,1,2,4,1,3,Travel_Rarely,Research & Development,Life Sciences,Male,Research Scientist,Married,Y,No,0
95,31.0,1082.0,1.0,1.0,87.0,2501.0,18775.0,1.0,17.0,3.0,80.0,1.0,4.0,1.0,1.0,1.0,0.0,4,3,3,1,2,2,0,3,Travel_Rarely,Research & Development,Medical,Male,Research Scientist,Single,Y,No,0
96,32.0,548.0,1.0,1.0,66.0,6220.0,7346.0,1.0,17.0,3.0,80.0,10.0,3.0,10.0,4.0,0.0,9.0,3,2,3,2,2,2,2,3,Travel_Rarely,Research & Development,Life Sciences,Male,Research Scientist,Married,Y,No,0
97,36.0,132.0,6.0,1.0,55.0,3038.0,22002.0,3.0,12.0,3.0,80.0,5.0,3.0,1.0,0.0,0.0,0.0,3,2,4,1,4,2,0,3,Travel_Rarely,Research & Development,Life Sciences,Female,Laboratory Technician,Married,Y,No,0
98,31.0,746.0,8.0,1.0,61.0,4424.0,20682.0,1.0,23.0,4.0,80.0,11.0,2.0,11.0,7.0,1.0,8.0,4,3,3,2,4,4,0,3,Travel_Rarely,Research & Development,Life Sciences,Female,Manufacturing Director,Single,Y,No,0
100,35.0,776.0,1.0,1.0,32.0,4312.0,23016.0,0.0,14.0,3.0,80.0,16.0,2.0,15.0,13.0,2.0,8.0,4,3,2,2,1,2,0,3,Travel_Rarely,Sales,Marketing,Male,Sales Executive,Single,Y,No,0
101,45.0,193.0,6.0,1.0,52.0,13245.0,15067.0,4.0,14.0,3.0,80.0,17.0,3.0,0.0,0.0,0.0,0.0,4,4,3,3,1,2,0,4,Travel_Rarely,Research & Development,Other,Male,Research Director,Married,Y,Yes,0
102,37.0,397.0,7.0,1.0,30.0,13664.0,25258.0,4.0,13.0,3.0,80.0,16.0,3.0,5.0,2.0,0.0,2.0,4,1,3,3,3,1,0,4,Travel_Rarely,Research & Development,Medical,Male,Research Director,Single,Y,No,0
103,46.0,945.0,5.0,1.0,80.0,5021.0,10425.0,8.0,22.0,4.0,80.0,16.0,2.0,4.0,2.0,0.0,2.0,2,2,3,2,2,4,1,3,Travel_Rarely,Human Resources,Medical,Male,Human Resources,Divorced,Y,Yes,0
104,30.0,852.0,1.0,1.0,55.0,5126.0,15998.0,1.0,12.0,3.0,80.0,10.0,1.0,10.0,8.0,3.0,0.0,1,4,2,2,4,3,2,2,Travel_Rarely,Research & Development,Life Sciences,Male,Laboratory Technician,Married,Y,Yes,0
105,35.0,1214.0,1.0,1.0,30.0,2859.0,26278.0,1.0,18.0,3.0,80.0,6.0,3.0,6.0,4.0,0.0,4.0,3,2,2,1,3,1,0,3,Travel_Rarely,Research & Development,Medical,Male,Research Scientist,Single,Y,No,0
106,55.0,111.0,1.0,1.0,70.0,10239.0,18092.0,3.0,14.0,3.0,80.0,24.0,4.0,1.0,0.0,1.0,0.0,2,1,3,3,4,4,1,3,Travel_Rarely,Sales,Life Sciences,Male,Sales Executive,Married,Y,No,0
107,38.0,573.0,6.0,1.0,79.0,5329.0,15717.0,7.0,12.0,3.0,80.0,17.0,3.0,13.0,11.0,1.0,9.0,3,2,1,2,4,4,3,3,Non-Travel,Research & Development,Medical,Female,Research Scientist,Divorced,Y,Yes,0
110,34.0,1153.0,1.0,1.0,94.0,4325.0,17736.0,1.0,15.0,3.0,80.0,5.0,2.0,5.0,2.0,1.0,3.0,2,1,3,2,2,3,0,3,Travel_Rarely,Research & Development,Medical,Male,Manufacturing Director,Married,Y,No,0
112,56.0,1400.0,7.0,1.0,49.0,7260.0,21698.0,4.0,11.0,3.0,80.0,37.0,3.0,6.0,4.0,0.0,2.0,3,4,1,3,4,1,0,2,Travel_Rarely,Research & Development,Life Sciences,Male,Manufacturing Director,Single,Y,No,0
113,23.0,541.0,2.0,1.0,62.0,2322.0,9518.0,3.0,13.0,3.0,80.0,3.0,3.0,0.0,0.0,0.0,0.0,1,3,3,1,1,3,1,3,Travel_Rarely,Sales,Technical Degree,Male,Sales Representative,Divorced,Y,No,0
116,51.0,432.0,9.0,1.0,96.0,2075.0,18725.0,3.0,23.0,4.0,80.0,10.0,4.0,4.0,2.0,0.0,3.0,4,4,3,1,4,2,2,3,Travel_Rarely,Research & Development,Life Sciences,Male,Laboratory Technician,Married,Y,No,0
117,30.0,288.0,2.0,1.0,99.0,4152.0,15830.0,1.0,19.0,3.0,80.0,11.0,3.0,11.0,10.0,10.0,8.0,3,3,2,2,4,1,3,3,Travel_Rarely,Research & Development,Life Sciences,Male,Healthcare Representative,Married,Y,No,0
118,46.0,669.0,9.0,1.0,64.0,9619.0,13596.0,1.0,16.0,3.0,80.0,9.0,3.0,9.0,8.0,4.0,7.0,2,3,2,3,4,4,0,3,Travel_Rarely,Sales,Medical,Male,Sales Executive,Single,Y,No,1
119,40.0,530.0,1.0,1.0,78.0,13503.0,14115.0,1.0,22.0,4.0,80.0,22.0,3.0,22.0,3.0,11.0,11.0,4,3,2,4,2,4,1,2,Travel_Frequently,Research & Development,Life Sciences,Male,Healthcare Representative,Married,Y,No,0
120,51.0,632.0,21.0,1.0,71.0,5441.0,8423.0,0.0,22.0,4.0,80.0,11.0,2.0,10.0,7.0,1.0,0.0,4,3,3,2,4,4,0,1,Travel_Rarely,Sales,Marketing,Male,Sales Executive,Single,Y,Yes,0
121,30.0,1334.0,4.0,1.0,63.0,5209.0,19760.0,1.0,12.0,3.0,80.0,11.0,4.0,11.0,8.0,2.0,7.0,2,3,2,2,2,2,3,2,Travel_Rarely,Sales,Medical,Female,Sales Executive,Divorced,Y,Yes,0
124,46.0,638.0,1.0,1.0,40.0,10673.0,3142.0,2.0,13.0,3.0,80.0,21.0,5.0,10.0,9.0,9.0,5.0,3,3,2,3,1,3,1,2,Travel_Frequently,Research & Development,Medical,Male,Healthcare Representative,Married,Y,Yes,0
125,32.0,1093.0,6.0,1.0,87.0,5010.0,24301.0,1.0,16.0,3.0,80.0,12.0,0.0,11.0,8.0,5.0,7.0,4,2,3,2,3,1,0,3,Travel_Rarely,Sales,Medical,Male,Sales Executive,Single,Y,No,0
126,54.0,1217.0,2.0,1.0,60.0,13549.0,24001.0,9.0,12.0,3.0,80.0,16.0,5.0,4.0,3.0,0.0,3.0,4,1,3,3,3,1,1,1,Travel_Rarely,Research & Development,Technical Degree,Female,Research Director,Married,Y,No,0
128,24.0,1353.0,3.0,1.0,33.0,4999.0,17519.0,0.0,21.0,4.0,80.0,4.0,2.0,3.0,2.0,0.0,2.0,2,1,3,2,3,1,1,2,Travel_Rarely,Sales,Other,Female,Sales Executive,Married,Y,No,0
129,28.0,120.0,4.0,1.0,43.0,4221.0,8863.0,1.0,15.0,3.0,80.0,5.0,3.0,5.0,4.0,0.0,4.0,3,2,3,2,3,2,0,4,Non-Travel,Sales,Medical,Male,Sales Executive,Married,Y,No,0
131,58.0,682.0,10.0,1.0,37.0,13872.0,24409.0,0.0,13.0,3.0,80.0,38.0,1.0,37.0,10.0,1.0,8.0,4,4,3,4,3,3,0,2,Travel_Rarely,Sales,Medical,Male,Sales Executive,Single,Y,No,0
132,44.0,489.0,23.0,1.0,67.0,2042.0,25043.0,4.0,12.0,3.0,80.0,17.0,3.0,3.0,2.0,1.0,2.0,3,2,3,2,2,3,1,4,Non-Travel,Research & Development,Medical,Male,Laboratory Technician,Married,Y,No,0
133,37.0,807.0,6.0,1.0,63.0,2073.0,23648.0,4.0,22.0,4.0,80.0,7.0,3.0,3.0,2.0,0.0,2.0,4,3,3,1,1,4,0,3,Travel_Rarely,Human Resources,Human Resources,Male,Human Resources,Divorced,Y,Yes,1
134,32.0,827.0,1.0,1.0,71.0,2956.0,15178.0,1.0,13.0,3.0,80.0,1.0,2.0,1.0,0.0,0.0,0.0,1,4,3,1,1,4,0,3,Travel_Rarely,Research & Development,Life Sciences,Male,Research Scientist,Single,Y,No,0
137,20.0,871.0,6.0,1.0,66.0,2926.0,19783.0,1.0,18.0,3.0,80.0,1.0,5.0,1.0,0.0,1.0,0.0,3,4,2,1,4,2,0,3,Travel_Frequently,Research & Development,Life Sciences,Female,Laboratory Technician,Single,Y,Yes,1
